L_SENSOR = 0, R_SENSOR = 0, L_MOTOR = 0, R_MOTOR = 0
L_SENSOR = 0, R_SENSOR = 0, L_MOTOR = 0, R_MOTOR = 0
L_SENSOR = 0, R_SENSOR = 0, L_MOTOR = 0, R_MOTOR = 0
L_SENSOR = 0, R_SENSOR = 0, L_MOTOR = 0, R_MOTOR = 0
L_SENSOR = 0, R_SENSOR = 0, L_MOTOR = 0, R_MOTOR = 0
L_SENSOR = 0, R_SENSOR = 0, L_MOTOR = 0, R_MOTOR = 0
L_SENSOR = 0, R_SENSOR = 0, L_MOTOR = 0, R_MOTOR = 0
L_SENSOR = 74, R_SENSOR = 76, L_MOTOR = 15, R_MOTOR = 15
L_SENSOR = 92, R_SENSOR = 91, L_MOTOR = 15, R_MOTOR = 15
L_SENSOR = 39, R_SENSOR = 82, L_MOTOR = 5, R_MOTOR = 25
L_SENSOR = 58, R_SENSOR = 81, L_MOTOR = 10, R_MOTOR = 20
L_SENSOR = 46, R_SENSOR = 79, L_MOTOR = 7, R_MOTOR = 23
L_SENSOR = 90, R_SENSOR = 89, L_MOTOR = 15, R_MOTOR = 15
L_SENSOR = 50, R_SENSOR = 82, L_MOTOR = 7, R_MOTOR = 23
L_SENSOR = 68, R_SENSOR = 82, L_MOTOR = 12, R_MOTOR = 18
L_SENSOR = 81, R_SENSOR = 84, L_MOTOR = 15, R_MOTOR = 15
L_SENSOR = 68, R_SENSOR = 81, L_MOTOR = 12, R_MOTOR = 18
L_SENSOR = 11, R_SENSOR = 88, L_MOTOR = -4, R_MOTOR = 34
L_SENSOR = 79, R_SENSOR = 11, L_MOTOR = 32, R_MOTOR = -2
L_SENSOR = 71, R_SENSOR = 9, L_MOTOR = 30, R_MOTOR = 0
L_SENSOR = 69, R_SENSOR = 75, L_MOTOR = 14, R_MOTOR = 16
L_SENSOR = 76, R_SENSOR = 83, L_MOTOR = 14, R_MOTOR = 16
L_SENSOR = 68, R_SENSOR = 77, L_MOTOR = 13, R_MOTOR = 17
L_SENSOR = 90, R_SENSOR = 89, L_MOTOR = 15, R_MOTOR = 15
L_SENSOR = 79, R_SENSOR = 75, L_MOTOR = 16, R_MOTOR = 14
L_SENSOR = 72, R_SENSOR = 81, L_MOTOR = 13, R_MOTOR = 17
L_SENSOR = 80, R_SENSOR = 83, L_MOTOR = 15, R_MOTOR = 15
L_SENSOR = 79, R_SENSOR = 65, L_MOTOR = 18, R_MOTOR = 12
L_SENSOR = 76, R_SENSOR = 77, L_MOTOR = 15, R_MOTOR = 15
L_SENSOR = 62, R_SENSOR = 78, L_MOTOR = 11, R_MOTOR = 19
L_SENSOR = 10, R_SENSOR = 76, L_MOTOR = -1, R_MOTOR = 31
L_SENSOR = 73, R_SENSOR = 77, L_MOTOR = 14, R_MOTOR = 16
L_SENSOR = 92, R_SENSOR = 89, L_MOTOR = 15, R_MOTOR = 15
L_SENSOR = 74, R_SENSOR = 79, L_MOTOR = 14, R_MOTOR = 16
L_SENSOR = 79, R_SENSOR = 83, L_MOTOR = 14, R_MOTOR = 16
L_SENSOR = 11, R_SENSOR = 85, L_MOTOR = -3, R_MOTOR = 33
L_SENSOR = 77, R_SENSOR = 83, L_MOTOR = 14, R_MOTOR = 16
L_SENSOR = 65, R_SENSOR = 78, L_MOTOR = 12, R_MOTOR = 18
L_SENSOR = 94, R_SENSOR = 90, L_MOTOR = 16, R_MOTOR = 14
L_SENSOR = 76, R_SENSOR = 82, L_MOTOR = 14, R_MOTOR = 16
L_SENSOR = 76, R_SENSOR = 82, L_MOTOR = 14, R_MOTOR = 16
L_SENSOR = 11, R_SENSOR = 57, L_MOTOR = 4, R_MOTOR = 26
L_SENSOR = 51, R_SENSOR = 84, L_MOTOR = 7, R_MOTOR = 23
L_SENSOR = 73, R_SENSOR = 58, L_MOTOR = 18, R_MOTOR = 12
L_SENSOR = 80, R_SENSOR = 83, L_MOTOR = 15, R_MOTOR = 15
L_SENSOR = 84, R_SENSOR = 85, L_MOTOR = 15, R_MOTOR = 15
L_SENSOR = 0, R_SENSOR = 0, L_MOTOR = 15, R_MOTOR = 15
L_SENSOR = 0, R_SENSOR = 0, L_MOTOR = 15, R_MOTOR = 15
L_SENSOR = 0, R_SENSOR = 0, L_MOTOR = 15, R_MOTOR = 15
L_SENSOR = 0, R_SENSOR = 0, L_MOTOR = 15, R_MOTOR = 15
L_SENSOR = 0, R_SENSOR = 0, L_MOTOR = 15, R_MOTOR = 15
L_SENSOR = 0, R_SENSOR = 0, L_MOTOR = 15, R_MOTOR = 15
L_SENSOR = 0, R_SENSOR = 0, L_MOTOR = 15, R_MOTOR = 15
L_SENSOR = 0, R_SENSOR = 0, L_MOTOR = 15, R_MOTOR = 15
L_SENSOR = 0, R_SENSOR = 0, L_MOTOR = 15, R_ML_SENSOR = 0, R_SENSOR = 0, L_MOTOR = 0, R_MOTOR = 0
L_SENSOR = 0, R_SENSOR = 0, L_MOTOR = 0, R_MOTOR = 0
L_SENSOR = 0, R_SENSOR = 0, L_MOTOR = 0, R_MOTOR = 0
L_SENSOR = 0, R_SENSOR = 0, L_MOTOR = 0, R_MOTOR = 0
L_SENSOR = 93, R_SENSOR = 91, L_MOTOR = 20, R_MOTOR = 20
L_SENSOR = 74, R_SENSOR = 80, L_MOTOR = 19, R_MOTOR = 21
L_SENSOR = 73, R_SENSOR = 80, L_MOTOR = 19, R_MOTOR = 21
L_SENSOR = 82, R_SENSOR = 59, L_MOTOR = 24, R_MOTOR = 16
L_SENSOR = 81, R_SENSOR = 58, L_MOTOR = 24, R_MOTOR = 16
L_SENSOR = 12, R_SENSOR = 25, L_MOTOR = 18, R_MOTOR = 22
L_SENSOR = 12, R_SENSOR = 25, L_MOTOR = 18, R_MOTOR = 22
L_SENSOR = 12, R_SENSOR = 25, L_MOTOR = 18, R_MOTOR = 22
L_SENSOR = 12, R_SENSOR = 25, L_MOTOR = 18, R_MOTOR = 22
L_SENSOR = 12, R_SENSOR = 25, L_MOTOR = 18, R_MOTOR = 22
L_SENSOR = 12, R_SENSOR = 25, L_MOTOR = 18, R_MOTOR = 22
L_SENSOR = 12, R_SENSOR = 25, L_MOTOR = 18, R_MOTOR = 22
L_SENSOR = 12, R_SENSOR = 25, L_MOTOR = 18, R_MOTOR = 22
L_SENSOR = 12, R_SENSOR = 25, L_MOTOR = 18, R_MOTOR = 22
L_SENSOR = 4, R_SENSOR = 7, L_MOTOR = 20, R_MOTOR = 20
L_SENSOR = 4, R_SENSOR = 7, L_MOTOR = 20, R_MOTOR = 20
L_SENSOR = 4, R_SENSOR = 7, L_MOTOR = 20, R_MOTOR = 20
L_SENSOR = 4, R_SENSOR = 7, L_MOTOR = 20, R_MOTOR = 20
L_SENSOR = 4, R_SENSOR = 7, L_MOTOR = 20, R_MOTOR = 20
L_SENSOR = 4, R_SENSOR = 7, L_MOTOR = 20, R_MOTOR = 20
L_SENSOR = 4, R_SENSOR = 7, L_MOTOR = 20, R_MOTOR = 20
L_SENSOR = 4, R_SENSOR = 7, L_MOTOR = 20, R_MOTOR = 20
L_SENSOR = 4, R_SENSOR = 7, L_MOTOR = 20, R_MOTOR = 20
L_SENSOR = 81, R_SENSOR = 83, L_MOTOR = 20, R_MOTOR = 20
L_SENSOR = 93, R_SENSOR = 92, L_MOTOR = 20, R_MOTOR = 20
L_SENSOR = 76, R_SENSOR = 79, L_MOTOR = 20, R_MOTOR = 20
L_SENSOR = 77, R_SENSOR = 68, L_MOTOR = 21, R_MOTOR = 19
L_SENSOR = 81, R_SENSOR = 60, L_MOTOR = 24, R_MOTOR = 16
L_SENSOR = 81, R_SENSOR = 60, L_MOTOR = 24, R_MOTOR = 16
L_SENSOR = 82, R_SENSOR = 83, L_MOTOR = 20, R_MOTOR = 20
L_SENSOR = 80, R_SENSOR = 84, L_MOTOR = 20, R_MOTOR = 20
L_SENSOR = 13, R_SENSOR = 83, L_MOTOR = 6, R_MOTOR = 34
L_SENSOR = 79, R_SENSOR = 71, L_MOTOR = 21, R_MOTOR = 19
L_SENSOR = 78, R_SENSOR = 79, L_MOTOR = 20, R_MOTOR = 20
L_SENSOR = 79, R_SENSOR = 84, L_MOTOR = 19, R_MOTOR = 21
L_SENSOR = 85, R_SENSOR = 87, L_MOTOR = 20, R_MOTOR = 20
L_SENSOR = 80, R_SENSOR = 83, L_MOTOR = 20, R_MOTOR = 20
L_SENSOR = 73, R_SENSOR = 77, L_MOTOR = 20, R_MOTOR = 20
L_SENSOR = 77, R_SENSOR = 81, L_MOTOR = 20, R_MOTOR = 20
L_SENSOR = 88, R_SENSOR = 89, L_MOTOR = 20, R_MOTOR = 20
L_SENSOR = 95, R_SENSOR = 91, L_MOTOR = 20, R_MOTOR = 20
L_SENSOR = 80, R_SENSOR = 80, L_MOTOR = 20, R_MOTOR = 20
L_SENSOR = 78, R_SENSOR = 77, L_MOTOR = 20, R_MOTOR = 20
L_SENSOR = 79, R_SENSOR = 82, L_MOTOR = 20, R_MOTOR = 20
L_SENSOR = 89, R_SENSOR = 89, L_MOTOR = 20, R_MOTOR = 20
L_SENSOR = 76, R_SENSOR = 64, L_MOTOR = 22, R_MOTOR = 18
L_SENSOR = 14, R_SENSOR = 25, L_MOTOR = 18, R_MOTOR = 22
L_SENSOR = 14, R_SENSOR = 25, L_MOTOR = 18, R_MOTOR = 22
L_SENSOR = 14, R_SENSOR = 25, L_MOTOR = 18, R_MOTOR = 22
L_SENSOR = 14, R_SENSOR = 25, L_MOTOR = 18, R_MOTOR = 22
L_SENSOR = 14, R_SENSOR = 25, L_MOTOR = 18, R_MOTOR = 22
L_SENSOR = 14, R_SENSOR = 25, L_MOTOR = 18, R_MOTOR = 22
L_SENSOR = 14, R_SENSOR = 25, L_MOTOR = 18, R_MOTOR = 22
L_SENSOR = 14, R_SENSOR = 25, L_MOTOR = 18, R_MOTOR = 22
L_SENSOR = 14, R_SENSOR = 25, L_MOTOR = 18, R_MOTOR = 22
L_SENSOR = 78, R_SENSOR = 78, L_MOTOR = 20, R_MOTOR = 20
L_SENSOR = 93, R_SENSOR = 23, L_MOTOR = 34, R_MOTOR = 6
L_SENSOR = 56, R_SENSOR = 77, L_MOTOR = 16, R_MOTOR = 24
L_SENSOR = 77, R_SENSOR = 85, L_MOTOR = 19, R_MOTOR = 21
L_SENSOR = 11, R_SENSOR = 82, L_MOTOR = 6, R_MOTOR = 34
L_SENSOR = 79, R_SENSOR = 61, L_MOTOR = 23, R_MOTOR = 17
L_SENSOR = 81, R_SENSOR = 86, L_MOTOR = 19, R_MOTOR = 21
L_SENSOR = 16, R_SENSOR = 25, L_MOTOR = 19, R_MOTOR = 21
L_SENSOR = 16, R_SENSOR = 25, L_MOTOR = 19, R_MOTOR = 21
L_SENSOR = 16, R_SENSOR = 25, L_MOTOR = 19, R_MOTOR = 21
L_SENSOR = 16, R_SENSOR = 25, L_MOTOR = 19, R_MOTOR = 21
L_SENSOR = 16, R_SENSOR = 25, L_MOTOR = 19, R_MOTOR = 21
L_SENSOR = 16, R_SENSOR = 25, L_MOTOR = 19, R_MOTOR = 21
L_SENSOR = 16, R_SENSOR = 25,
